,name,ra,dec,velocity,redshift,flag
27366,WISEA J155416.36+615849.0,238.5682,61.98029,30714.0,0.102452,PHOT
27367,SDSS J155250.98+623427.0,238.21243,62.57417,--,--,
27368,WISEA J155251.31+623431.3,238.21396,62.57542,--,--,
27369,WISEA J155417.49+622636.6,238.57292,62.44353,--,--,
27370,WISEA J155440.73+622446.0,238.66989,62.41287,--,--,
27371,WISEA J155524.86+621007.2,238.8536,62.16869,--,--,
27372,WISEA J155525.12+621011.8,238.85483,62.16995,34342.0,0.114551,PHOT
27373,WISEA J155525.29+621019.2,238.85538,62.17203,--,--,
27374,WISEA J155513.55+620727.7,238.80654,62.1244,--,--,
27375,SDSS J155513.66+620733.6,238.80695,62.12601,--,--,
27376,SDSS J154857.60+624138.6,237.24,62.69408,--,--,
27377,WISEA J154857.94+624146.9,237.24139,62.69636,--,--,
27378,WISEA J154955.60+622104.3,237.48167,62.3512,--,--,
27379,WISEA J155211.87+621517.9,238.04948,62.25499,--,--,
27380,WISEA J155228.96+621651.6,238.12069,62.28101,--,--,
27381,SDSS J155225.44+621613.8,238.10601,62.27051,--,--,
27382,WISEA J155226.05+621622.6,238.1085,62.27295,--,--,
27383,GALEXASC J155226.14+621627.5,238.10895,62.27432,--,--,
27384,WISEA J155302.12+615726.9,238.25888,61.95748,--,--,
27385,SDSS J155324.50+615200.9,238.35209,61.86694,--,--,
27386,WISEA J155324.63+615209.5,238.35261,61.86952,--,--,
27387,SDSS J155324.50+615200.9,238.35209,61.86694,--,--,
27388,WISEA J155324.63+615209.5,238.35261,61.86952,--,--,
27389,WISEA J155531.17+621305.2,238.87976,62.21816,--,--,
27390,WISEA J160751.66+075417.3,241.96522,7.90478,32117.0,0.107132,SPEC
27391,WISEA J160646.65+080746.2,241.69455,8.12948,--,--,
27392,SDSS J160646.98+080751.4,241.69577,8.13095,--,--,
27393,SDSS J160717.61+075717.9,241.82341,7.955,--,--,
27394,WISEA J160725.98+080400.2,241.85826,8.06675,--,--,
27395,SDSS J160726.33+080351.9,241.85975,8.06442,--,--,
27396,WISEA J160726.45+080346.3,241.86023,8.06291,--,--,
27397,WISEA J160721.51+075603.8,241.83964,7.93441,21890.0,0.073016,SPEC
27398,WISEA J160653.22+075458.4,241.72175,7.91621,--,--,
27399,SDSS J160720.73+074626.1,241.83641,7.77394,--,--,
27400,SDSS J160730.37+075230.5,241.87657,7.87516,--,--,
27401,WISEA J160730.65+075235.7,241.87773,7.87658,21794.0,0.072697,SPEC
27402,SDSS J160743.61+075131.1,241.93172,7.85865,--,--,
27403,SDSS J160722.66+080801.1,241.84443,8.13366,--,--,
27404,SDSS J160722.89+080745.8,241.8454,8.12941,--,--,
27405,SDSS J160723.01+080754.6,241.84589,8.13185,--,--,
27406,SDSS J160723.39+080758.7,241.8475,8.13297,--,--,
27407,SDSS J160900.80+003034.6,242.25336,0.50964,--,--,
27408,WISEA J160900.85+003033.5,242.25355,0.50932,--,--,
27409,SDSS J160901.27+003028.0,242.2553,0.5078,--,--,
27410,WISEA J160854.12+003701.9,242.22532,0.61715,--,--,
27411,WISEA J160854.58+003708.7,242.22749,0.61884,--,--,
27412,WISEA J160938.91+003638.2,242.41246,0.61103,--,--,
27413,WISEA J161103.01+003727.0,242.76279,0.62431,--,--,
27414,SDSS J161054.18+003638.0,242.72577,0.61057,--,--,
27415,SDSS J161054.30+003632.4,242.72629,0.609,--,--,
27416,SDSS J161032.78+003732.3,242.63662,0.62565,--,--,
27417,WISEA J161923.98+073755.3,244.84995,7.63203,--,--,
27418,WISEA J161817.48+072232.9,244.57274,7.37584,--,--,
27419,SDSS J161817.56+072230.0,244.5732,7.37501,--,--,
27420,GALEXASC J161817.58+072231.3,244.57328,7.37537,--,--,
27421,SDSS J161818.22+072230.8,244.57594,7.37524,--,--,
27422,WISEA J161839.82+072026.6,244.66594,7.34077,--,--,
27423,WISEA J161913.28+070445.4,244.80522,7.07939,--,--,
27424,SDSS J162003.47+071401.7,245.01447,7.23383,--,--,
27425,WISEA J162003.62+071410.8,245.01495,7.2364,--,--,
27426,WISEA J161731.11+071653.8,244.37963,7.2816,36837.0,0.122874,SPEC
27427,SDSS J161901.64+070317.7,244.75685,7.05493,--,--,
27428,WISEA J161902.05+070320.4,244.75858,7.05567,34504.0,0.115092,SPEC
27429,SDSS J161920.76+070907.6,244.83654,7.15213,--,--,
27430,WISEA J161921.02+070906.0,244.8374,7.15165,--,--,
27431,WISEA J161817.29+074052.4,244.5723,7.68107,--,--,
27432,WISEA J161857.05+073002.7,244.7377,7.50078,--,--,
27433,WISEA J162610.02+482859.4,246.54188,48.48315,--,--,
27434,SDSS J162615.60+482001.7,246.56502,48.33382,--,--,
27435,WISEA J162616.35+482002.9,246.56823,48.33415,--,--,
27436,WISEA J162640.97+481636.5,246.6709,48.27709,--,--,
27437,SDSS J162505.74+481616.6,246.27395,48.27129,--,--,
27438,SDSS J162505.78+481621.3,246.27409,48.27259,--,--,
27439,WISEA J162515.01+482518.9,246.31261,48.42188,--,--,
27440,WISEA J162700.86+482907.3,246.75366,48.48535,25511.0,0.085097,SPEC
27441,WISEA J162533.29+482912.6,246.38852,48.48678,--,--,
27442,2MASS J16253373+4829149,246.39067,48.48755,17034.0,0.05682,SPEC
27443,WISEA J162621.77+481653.7,246.59077,48.28159,--,--,
27444,SDSS J162622.55+481700.2,246.59397,48.2834,--,--,
27445,SDSS J162650.22+481744.6,246.70928,48.29575,--,--,
27446,WISEA J162653.51+483301.5,246.72303,48.55045,--,--,
27447,SDSS J162654.02+483303.3,246.72511,48.55093,--,--,
27448,SDSS J162647.51+483253.4,246.69797,48.54818,--,--,
27449,WISEA J162516.36+483127.6,246.31821,48.52437,42074.0,0.140343,SPEC
27450,WISEA J162608.69+483417.4,246.53622,48.57149,26831.0,0.089499,SPEC
27451,WISEA J162535.05+482855.2,246.39704,48.48191,--,--,
27452,WISEA J162638.52+482917.3,246.66072,48.48819,--,--,
27453,WISEA J162657.12+482455.5,246.73808,48.41541,15115.0,0.050418,SPEC
27454,WISEA J162707.89+481428.0,246.78307,48.24128,--,--,
27455,GALEXMSC J162708.66+481425.0,246.78609,48.24028,--,--,
27456,SDSS J163041.16+200636.2,247.67152,20.11006,--,--,
27457,WISEA J163041.33+200640.6,247.67224,20.11129,--,--,
27458,WISEA J163041.57+200643.7,247.67325,20.11212,24337.0,0.081181,SPEC
27459,WISEA J163037.19+201310.4,247.65506,20.21963,--,--,
27460,WISEA J163136.10+200124.1,247.90042,20.0234,--,--,
27461,SDSS J163136.34+200115.3,247.90142,20.02094,--,--,
27462,SDSS J163128.23+200853.4,247.86764,20.14819,--,--,
27463,SDSS J163128.67+200856.4,247.86947,20.14901,--,--,
27464,WISEA J163127.80+195901.4,247.86588,19.98391,--,--,
27465,SDSS J163127.97+195909.0,247.86658,19.98584,--,--,
27466,WISEA J163114.42+200800.8,247.81007,20.13343,31478.0,0.105,PHOT
27467,SDSS J163036.62+201710.1,247.65261,20.28615,--,--,
27468,WISEA J163036.67+201709.8,247.65288,20.286,-28.0,-9.2e-05,SPEC
27469,2MASS J16320670+1957482,248.02793,19.9634,--,--,
27470,WISEA J163207.01+195746.2,248.02925,19.96284,--,--,
27471,2MASS J16320709+1957459,248.02957,19.96277,--,--,
